date,signal,confidence,entry,stopLoss,target,risk,reward,riskReward,mlPrediction,morningMove,morningRSI,actualAfternoonMove,outcome,reasoning
2025-04-04,SHORT,87.19,21186.35,21402.85,20536.85,216.50,649.50,3.00,-1.7194,-0.95,32.77,-4.05,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-08-01,SHORT,79.25,23671.10,23721.46,23520.03,50.36,151.07,3.00,-0.9249,-0.08,47.21,-0.97,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-11-14,SHORT,76.41,23836.29,24025.29,23269.29,189.00,567.00,3.00,-0.6411,-0.67,39.09,0.02,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-04-03,SHORT,76.23,21953.90,22150.76,21363.33,196.86,590.57,3.00,-0.6226,-0.33,37.56,-1.43,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-03-06,SHORT,75.64,23163.38,23442.88,22324.88,279.50,838.50,3.00,-0.5643,-0.56,35.17,0.31,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-07-31,SHORT,75.37,24331.96,24419.60,24069.02,87.64,262.93,3.00,-0.5371,-0.23,48.42,-1.36,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-11-13,SHORT,73.97,24317.29,24422.90,24000.45,105.61,316.83,3.00,-0.3968,-0.43,33.06,-0.89,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-10-30,SHORT,73.82,24097.76,24222.29,23724.16,124.53,373.60,3.00,-0.3815,-0.48,37.80,0.08,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-11-06,SHORT,73.72,23983.76,24039.29,23817.16,55.53,166.60,3.00,-0.3717,-0.23,45.81,-0.92,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-10-03,SHORT,73.69,24457.79,24487.29,24369.29,29.50,88.50,3.00,-0.3692,-0.09,49.21,-0.29,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-07-18,SHORT,73.60,24462.78,24492.27,24374.31,29.49,88.47,3.00,-0.3605,-0.10,47.97,-1.09,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-08-15,SHORT,73.41,24478.27,24531.79,24317.70,53.52,160.57,3.00,-0.3407,-0.12,48.83,-0.41,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-03-21,SHORT,72.97,22757.70,22957.68,22157.77,199.98,599.93,3.00,-0.2967,-0.61,36.89,0.57,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-11-20,SHORT,72.74,23324.78,23452.78,22940.78,128.00,384.00,3.00,-0.2736,-0.32,34.14,-1.71,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-01-16,SHORT,72.42,20586.00,20701.56,20239.33,115.56,346.67,3.00,-0.2422,-0.56,40.89,0.08,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-03-14,LONG,72.23,22659.76,22458.30,23264.12,201.46,604.37,3.00,0.2231,0.45,55.19,1.84,WIN,ML predicts bullish afternoon; Morning session bullish; Price above VWAP; RSI not overbought
