date,open,close,high,low,daily_range,daily_change_pct,first_hour_range,first_hour_change_pct,open_relative_to_range,close_relative_to_range,bullish_day,first_hour_bullish
2025-04-21,21139.266,20929.966,21172.699,20670.577,502.12,-0.99,52.50,-0.09,93.34,51.66,0,0
2025-04-27,22310.477,22301.899,22331.299,22282.755,48.54,-0.04,34.34,-0.05,57.11,39.44,0,0
2025-06-16,23460.399,23427.999,23715.655,23400.555,315.10,-0.14,66.32,-0.10,18.99,8.71,0,0
2025-11-09,23837.699,23832.266,23844.266,23816.088,28.18,-0.02,28.18,-0.02,76.69,57.41,0,0
2025-06-15,23373.699,23460.977,23469.399,23348.999,120.40,0.37,83.37,0.16,20.51,93.00,1,1
2025-07-14,24087.977,24197.799,24237.799,23966.177,271.62,0.46,70.16,-0.04,44.84,85.27,1,0
2025-09-29,23772.777,23754.499,23881.688,23666.977,214.71,-0.08,60.30,0.15,49.28,40.76,0,1
2025-11-02,23986.477,24007.588,24014.199,23984.966,29.23,0.09,29.23,0.09,5.17,77.39,1,1
2025-02-09,21701.688,21779.855,21785.666,21696.255,89.41,0.36,89.41,0.36,6.08,93.50,1,1
2025-09-07,23620.499,23685.188,23686.599,23616.388,70.21,0.27,53.80,0.19,5.86,97.99,1,1
2025-08-10,24228.188,24209.466,24239.399,24206.199,33.20,-0.08,20.01,-0.01,66.23,9.84,0,0
2025-10-13,24305.766,24422.299,24449.288,24255.899,193.39,0.48,88.80,0.22,25.79,86.04,1,1
2025-03-30,22392.466,22419.866,22430.399,22388.677,41.72,0.12,41.72,0.15,9.08,74.75,1,1
2025-08-24,24362.177,24355.566,24363.288,24341.255,22.03,-0.03,20.94,-0.04,94.96,64.95,0,0
2025-06-02,23986.577,24042.199,24086.899,23734.899,352.00,0.23,36.13,0.05,71.50,87.30,1,1
2025-09-15,23708.466,23733.166,23855.777,23655.577,200.20,0.10,53.80,-0.21,26.42,38.76,1,0
2025-06-22,23197.299,23212.955,23234.199,23182.955,51.24,0.07,51.24,0.03,27.99,58.54,1,1
2025-10-06,24428.077,24413.999,24484.766,24259.777,224.99,-0.06,46.00,-0.17,74.80,68.55,0,0
2025-12-01,23844.099,23554.377,23846.777,23426.766,420.01,-1.22,101.08,-0.39,99.36,30.38,0,0
