date,gap_type,gap_pct,first15_bullish,first30_bullish,vwap_pullback,breakout,rsi_oversold,price_vs_vwap_30,long_rr,bullish_day
2025-04-21,none,0.00,1,1,1,1,0,0.09,0.00,0
2025-04-27,gap_up,0.67,1,1,1,1,0,0.07,0.00,0
2025-06-16,gap_up,0.12,1,0,1,0,0,-0.09,0.00,0
2025-11-09,gap_up,0.31,0,0,0,0,0,-0.05,0.00,0
2025-06-15,gap_down,-1.23,1,1,1,1,0,0.09,0.96,1
2025-07-14,gap_down,-0.55,1,1,1,1,0,0.04,2.32,1
2025-09-29,gap_up,0.11,1,1,1,1,0,0.01,0.00,0
2025-11-02,gap_down,-0.62,1,1,1,1,0,-0.01,0.31,1
2025-09-07,gap_down,-0.90,1,1,1,1,0,0.05,0.00,1
2025-08-10,none,0.04,1,1,1,1,0,0.01,0.00,0
2025-10-13,gap_up,0.56,1,1,1,1,0,0.01,2.69,1
2025-03-30,gap_down,-1.12,1,1,1,1,0,0.05,0.30,1
2025-08-24,gap_up,0.24,0,0,0,0,0,-0.04,0.00,0
2025-06-02,gap_down,-0.16,1,1,1,1,0,0.01,3.73,1
2025-09-15,none,0.05,0,0,0,0,0,-0.04,3.22,1
2025-06-22,gap_up,0.34,0,1,0,0,0,0.14,0.79,1
2025-10-06,gap_up,0.18,0,0,0,0,0,-0.07,0.00,0
2025-12-01,none,0.03,0,0,0,0,0,-0.12,0.00,0
2025-11-23,gap_up,1.48,0,0,0,0,0,-0.00,0.00,0
2025-01-12,gap_down,-0.42,1,1,1,1,0,0.07,0.93,1
2025-07-07,gap_up,0.23,1,1,1,1,0,0.04,8.91,1
2025-06-23,gap_down,-0.30,0,0,0,0,0,-0.05,8.49,1
2025-02-24,gap_up,0.61,1,1,0,1,0,0.14,0.00,0
2025-09-21,gap_down,-0.36,0,0,0,0,0,-0.01,0.00,0
2025-03-09,gap_down,-0.98,1,1,0,1,0,0.20,0.24,1
2025-03-23,none,-0.01,0,1,0,0,0,0.02,6.73,1
2025-08-18,gap_up,0.13,1,1,1,1,0,-0.02,0.00,0
2025-03-10,gap_down,-0.68,1,1,1,1,0,-0.04,0.00,0
2025-07-28,gap_up,0.34,0,1,0,0,0,0.07,0.00,0
2025-06-30,gap_up,0.30,0,0,0,0,0,-0.02,0.00,0
2025-04-07,gap_down,-3.47,0,1,0,0,0,0.46,6.83,1
2025-05-04,gap_up,1.82,0,0,0,0,1,-0.03,0.00,0
2025-03-16,gap_up,1.95,1,1,1,1,0,0.06,0.34,1
2025-03-17,gap_down,-0.29,1,0,1,1,0,-0.01,5.98,1
2025-04-06,gap_down,-9.42,1,1,1,0,0,-0.04,3.02,1
2025-09-01,gap_up,0.24,1,1,1,1,0,0.03,2.33,1
2025-02-03,gap_down,-1.23,1,0,0,1,0,-0.46,3.00,1
2025-03-31,gap_down,-0.16,0,0,0,0,0,-0.14,0.00,0
2025-02-16,none,0.09,0,0,0,0,0,-0.05,0.00,0
2025-03-03,gap_up,0.37,0,1,0,0,0,0.16,10.09,1
2025-11-10,gap_up,0.29,0,1,0,0,0,0.10,7.47,1
2025-08-11,none,-0.05,1,1,1,1,0,0.06,0.00,0
2025-03-24,gap_up,0.40,1,1,1,1,0,-0.01,0.00,0
2025-10-19,gap_down,-0.16,1,0,1,0,0,-0.02,0.00,0
2025-04-13,gap_up,1.25,0,0,0,0,0,-0.13,0.00,0
2025-01-05,gap_down,-0.16,0,0,0,0,0,-0.03,0.00,0
2025-09-28,gap_up,0.85,1,1,1,1,0,0.01,0.71,1
2025-07-06,gap_down,-0.20,0,0,0,0,0,-0.06,0.00,0
2025-05-05,gap_down,-0.40,1,1,1,1,0,0.08,9.43,1
2025-07-13,gap_down,-1.51,0,0,0,0,0,0.01,0.00,0
2025-10-20,none,-0.00,0,0,0,0,0,-0.03,8.44,1
2025-08-03,gap_down,-2.27,0,0,0,0,0,0.05,0.41,1
2025-07-20,gap_down,-0.94,1,1,1,1,0,0.05,0.52,1
2025-01-26,gap_down,-0.92,1,1,1,1,0,0.03,0.65,1
2025-04-14,gap_up,0.48,1,1,1,1,0,0.07,5.75,1
2025-04-28,gap_down,-0.22,1,1,1,1,0,0.01,4.99,1
2025-03-02,gap_up,0.78,1,1,1,1,0,-0.00,1.01,1
2025-10-05,gap_down,-0.30,1,1,1,1,0,0.04,10.98,1
2025-05-18,none,-0.07,1,1,1,1,0,-0.01,7.70,1
2025-02-23,gap_down,-0.31,1,1,1,1,0,0.03,0.12,1
2025-08-31,gap_down,-0.33,1,1,1,1,0,0.02,1.99,1
2025-06-29,gap_up,1.62,1,1,1,1,0,0.09,0.51,1
2025-02-17,none,0.02,1,1,1,1,0,-0.00,93.94,1
2025-10-12,gap_down,-1.40,1,0,1,1,0,-0.06,2.66,1
2025-05-11,gap_up,1.49,1,0,1,0,0,-0.08,0.00,0
2025-11-30,gap_up,0.25,1,1,1,1,0,0.02,0.00,0
2025-05-26,gap_up,0.88,0,1,0,0,0,0.16,0.96,1
2025-09-22,none,-0.08,1,1,0,1,0,0.14,0.00,0
2025-07-21,gap_up,0.14,0,1,0,0,0,-0.01,11.85,1
2025-01-19,gap_up,1.22,0,0,0,0,0,-0.01,0.00,0
2025-09-14,gap_down,-0.19,1,1,1,0,0,0.00,0.00,0
2025-08-25,none,0.03,1,0,1,0,1,-0.05,0.00,0
2025-05-19,gap_down,-0.30,0,1,0,0,0,0.07,8.14,1
2025-08-04,none,0.10,1,1,1,1,0,0.09,7.29,1
2025-01-06,none,-0.02,0,1,0,0,0,0.10,11.37,1
2025-06-01,gap_up,0.46,1,0,1,0,0,-0.03,0.00,0
